"Di"	"SName"	"monoculture"	"sd"	"mean"	"CV"	"TS"	"Id"	"monoculture_relative"	"site"	"persists"
4.66257804432037	"BPen"	0.63103	0.269119355504714	0.625254545454545	0.430415672242847	2.32333547426169	6	0.0261303596989793	"Schwerin"	TRUE
4.54173654409529	"QRob"	0.499269	0.0494891372837607	0.494460909090909	0.10008705718466	9.99130185389514	7	0.0206742604258905	"Schwerin"	TRUE
4.54005779679717	"PAbi"	0.461602	0.188429026503591	0.450840909090909	0.417950152047083	2.39262982703102	8	0.0191145053290149	"Schwerin"	TRUE
4.32814443523422	"PSyl"	0.90498	0.343177454178394	0.890698181818182	0.385290394865145	2.59544492498965	9	0.0374743719322097	"Schwerin"	TRUE
4.25789614695819	"PNig"	0.015139	0.0171860963360714	0.0142545454545455	1.2056572684744	0.829423108994623	10	0.000626891772947162	"Schwerin"	FALSE
4.20036271601683	"AInc"	0.032446	0.0421168520579676	0.0300145454545455	1.40321472206701	0.71264930753217	11	0.00134355838992296	"Schwerin"	FALSE
4.13823208797057	"UGla"	0.003241	0.00484011006636682	0.00294636363636364	1.64274022616585	0.608738974106697	12	0.00013420676637306	"Schwerin"	FALSE
4.10423678579605	"TPla"	1.069275	1.1502630565294	0.972801818181818	1.18242280702072	0.845721170179086	13	0.0442776735925806	"Schwerin"	TRUE
4.08238233777311	"AGlu"	1.304741	0.50182370678085	1.28148454545455	0.391595597903096	2.55365485555703	14	0.054028099526181	"Schwerin"	TRUE
4.08073778979974	"QPub"	1.073113	0.125688656796358	1.09785545454545	0.114485614910386	8.73472183193276	15	0.0444366015683102	"Schwerin"	TRUE
4.02463010421773	"SAri"	0.032733	0.00283208692727401	0.0325618181818182	0.0869756999274503	11.4974642438536	16	0.00135544279040092	"Schwerin"	FALSE
3.96304498896519	"PTre"	2.043249	0.755050074358708	2.03105909090909	0.371751899163481	2.68996608289079	17	0.0846090222724431	"Schwerin"	TRUE
3.96011541644128	"APla"	0.274175	0.339497441974564	0.249675454545455	1.35975497708669	0.73542661497921	18	0.0113533292719326	"Schwerin"	TRUE
3.91611390270515	"TCor"	0.016605	0.0190148723132949	0.0155409090909091	1.22353668000143	0.817302837213539	19	0.000687597456224825	"Schwerin"	FALSE
3.90985874801175	"SAlb"	1.676219	0.610752316034756	1.66735272727273	0.366300606971002	2.729998206307	20	0.069410654650751	"Schwerin"	TRUE
3.86628219362894	"QPet"	1.951573	0.721621229515369	1.97059454545455	0.366194675195813	2.7307879325806	21	0.0808128052054834	"Schwerin"	TRUE
3.86108071747658	"CAve"	1.607019	0.210693933247431	1.61642545454545	0.130345592278908	7.6719126632241	22	0.066545147636553	"Schwerin"	TRUE
3.8505448569429	"SAuc"	1.513072	0.130563010688326	1.51932	0.0859351622359518	11.6366801898192	23	0.062654890592292	"Schwerin"	TRUE
3.84390347447605	"FSyl"	0.020408	0.0261951172063525	0.0190236363636364	1.37697739305112	0.726228335371715	24	0.000845076114823019	"Schwerin"	FALSE
3.70032665350851	"ACam"	0.450139	0.038506426169714	0.448048181818182	0.0859426011136899	11.6356729612726	25	0.0186398332639317	"Schwerin"	TRUE
