"site" "simul" "decreasing" "increasing" "random_1" "random_10" "random_11" "random_12" "random_13" "random_14" "random_15" "random_16" "random_17" "random_18" "random_19" "random_2" "random_20" "random_21" "random_22" "random_23" "random_24" "random_25" "random_26" "random_27" "random_28" "random_29" "random_3" "random_30" "random_4" "random_5" "random_6" "random_7" "random_8" "random_9" "int_min" "int_max" "mean"
"Bever" 21 0.200129 1.690324 1.308023 1.744923 1.461349 1.540235 1.669407 1.660492 1.472343 1.114978 1.659091 1.538804 1.365379 1.826585 1.30296 0.695747 1.488962 1.703788 1.586761 1.224073 1.755204 1.003723 1.690637 1.763781 1.352013 1.134011 1.680297 1.774669 1.360522 1.382587 1.340056 1.826785 1.360522 1.669407 1.513883
"Bever" 22 0.206669 1.759293 1.3188 1.763435 1.310339 1.511884 1.521872 1.611359 1.522187 1.133803 1.597193 1.510329 1.372172 1.814289 1.239609 0.703479 1.464907 1.655458 1.544496 1.227938 1.735894 1.001288 1.703307 1.79858 1.315626 1.111283 1.649243 1.79917 1.363798 1.371366 1.29114 1.801243 1.3188 1.611359 1.5111065
"Bever" 23 0.20234 1.6404 1.152467 1.702778 0.37527 1.540514 1.469137 1.617009 1.482102 1.113641 1.608518 1.594947 1.363186 1.86023 1.240212 0.370603 0 1.664885 1.492851 1.240895 1.700187 0.866186 1.657591 1.758253 1.348837 1.107314 1.589676 1.804263 1.354996 1.173043 1.291459 1.804582 1.240895 1.608518 1.4756195
"Bever" 24 0.20134 1.698304 1.143579 1.747195 0.37415 1.539762 1.514201 1.656335 1.524281 1.037667 1.583861 1.493823 1.374647 1.814749 1.166433 0.376509 0.001785 1.503294 1.504635 1.221804 1.662272 0 1.618597 1.736286 1.356527 1.10794 1.652035 1.482084 1.343255 1.171374 0 1.811256 1.171374 1.539762 1.4879535
"Bever" 25 0 1.65828 1.14103 1.731805 0.369715 1.523978 1.220552 1.638424 1.563173 1.050598 1.632381 1.449133 1.383645 0 1.166519 0.367379 0 1.521341 1.521731 1.216217 1.612669 0 1.527709 1.775296 1.347601 0.37273 1.113528 1.443091 1.338185 0.977826 0 1.867147 1.113528 1.521731 1.342893
"Bever" 26 0 1.595937 1.164042 1.752658 0.184524 1.585461 0.557965 1.654598 1.409264 1.041946 1.625342 1.550102 1.182212 0 1.182709 0.374065 0.001062 1.579077 1.560399 1.228334 1.299175 0 1.004531 1.78884 1.329117 0.370147 1.098767 1.435388 1.099393 0.180546 0 1.856005 1.004531 1.435388 1.1824605
"Bever" 27 0 1.278153 1.151184 1.823475 0.18164 1.505506 0.554474 1.663033 1.412015 1.044893 1.594408 0.203642 0.546124 0 1.166094 0.202913 0 1.479045 0.201226 1.214322 1.14092 0 0.991969 0.204172 1.321258 0.371779 1.105308 1.217793 1.09696 0 0 1.784993 0.204172 1.214322 1.0709265
"Bever" 28 0 1.286481 1.156747 1.816123 0.181632 1.548908 0.199383 1.237605 1.438155 1.00014 1.766364 0 0.392545 0 0.992923 0.20073 0 1.502477 0.199158 0 1.148265 0 0.866328 0.201853 1.324586 0.200433 1.109342 1.229796 1.095776 0 0 0 0.199158 1.148265 0.6294365
"Bever" 29 0 1.254367 1.092683 1.828017 0.179431 1.536807 0.19993 1.101776 1.105976 1.002079 0.370918 0 0.387271 0 1.002626 0 0 0.180426 0.197426 0 0.17969 0 0.865457 0.196423 0 0 0 1.228998 0 0 0 0 0 0.387271 0.180058
"Bever" 30 0 0.17981 0 0 0 1.232378 0.199532 0 0.859535 0 0.199532 0 0 0 1.00034 0 0 0.17981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Davos" 1 1.519272 1.526994 1.522653 1.52985 1.479027 1.529041 1.535946 1.523594 1.5004 1.521195 1.512246 1.495674 1.540042 1.505047 1.475334 1.507317 1.556035 1.531532 1.504281 1.516519 1.535168 1.530079 1.49675 1.522794 1.520211 1.516332 1.511704 1.511065 1.483657 1.512932 1.485222 1.510211 1.507317 1.522794 1.514632
"Davos" 2 1.527623 1.534567 1.492324 1.528679 1.51905 1.838566 1.520255 1.538857 1.521906 1.508503 1.462282 1.526704 1.542983 1.534821 1.512011 1.525221 1.52016 1.555417 1.525387 1.539326 1.519419 1.55694 1.505958 1.826761 1.516023 1.793548 1.504148 1.516159 1.502694 1.519487 1.522683 1.484542 1.516159 1.528679 1.5210805
"Davos" 3 1.580123 1.496306 1.494604 1.49935 1.519625 1.788098 1.536492 1.52318 1.498533 1.499476 1.510033 1.521005 1.495501 1.498164 1.481563 1.525042 1.508981 1.511206 1.516201 1.526153 1.501574 1.76043 1.781722 1.810829 1.496195 1.794901 1.538131 1.523711 1.531926 1.528678 1.524646 1.486962 1.501574 1.526153 1.520315
"Davos" 4 1.496714 1.55332 1.534268 1.515009 1.54532 1.84814 1.513131 1.507863 1.54752 1.506898 1.522022 1.522993 1.502833 1.492785 1.528236 1.493152 1.541887 1.523429 1.519765 1.538987 1.532362 1.778974 1.786182 1.797304 1.512608 1.790901 1.50232 1.502062 1.489132 1.530808 1.480883 1.51024 1.51024 1.534268 1.5225075
"Davos" 5 1.551273 1.506179 1.505651 1.533738 1.518537 1.797761 1.814713 1.501395 1.538275 1.529251 1.525855 1.796801 1.508345 1.537881 1.478618 1.507713 1.525056 1.500517 1.521046 1.529858 1.520499 1.827146 1.817405 1.812623 1.476743 1.760646 1.526837 1.509828 1.524985 1.527782 1.499185 1.532971 1.518537 1.533738 1.526346
"Davos" 6 1.488084 1.505545 1.523824 1.800045 1.517592 1.84074 1.819491 1.536622 1.457525 1.48249 1.523743 1.723963 1.522287 1.536658 1.523729 1.493008 1.536109 1.526401 1.481531 1.486219 1.519495 1.798171 1.842763 1.780568 1.54651 1.799362 1.523051 1.809281 1.508243 1.524445 1.535073 1.530456 1.523051 1.54651 1.5284285
"Davos" 7 1.493457 1.475668 1.540998 1.798004 1.496416 1.814481 1.781563 1.535139 1.543635 1.507445 1.509167 1.710053 1.500957 1.529573 1.519815 1.509952 1.498113 1.49591 1.52593 1.511994 1.514214 1.810531 1.827348 1.788967 1.514501 1.86917 1.548785 1.661121 1.515695 1.482688 1.544155 1.517633 1.514214 1.548785 1.5277515
"Davos" 8 1.524378 1.524445 1.530613 1.835462 1.732496 1.824192 1.786108 1.488759 1.519795 1.492505 1.529459 1.661492 1.447767 1.511569 1.834411 1.83327 1.516474 1.515936 1.479039 1.524694 1.515634 1.641073 1.874241 1.743629 1.783157 1.845911 1.520891 1.825548 1.513618 1.512997 1.533363 1.521536 1.516474 1.743629 1.530036
"Davos" 9 1.527416 1.542449 1.512997 1.826559 1.742941 1.894487 1.789429 1.540515 1.499348 1.512393 1.53918 1.627215 1.501075 1.504836 1.682026 1.999671 1.494259 1.488578 1.492238 1.484597 1.509401 1.695974 1.853585 1.759473 1.855662 1.936272 1.49267 1.775778 1.497077 1.510548 1.489558 1.490731 1.501075 1.742941 1.5260885
"Davos" 10 1.74033 1.531816 1.549276 1.786814 1.698049 1.832021 1.814441 1.490394 1.520318 1.481247 1.520008 1.633654 1.507311 1.468649 1.728835 1.991671 1.522188 1.475003 1.506773 1.520817 1.540761 1.944848 1.836424 1.802436 1.824583 1.923422 1.506804 1.824992 1.503577 1.497082 1.491861 1.492299 1.506804 1.786814 1.5314745
"Davos" 11 1.921922 1.537327 1.522795 1.775824 1.650553 1.819288 1.775126 1.521407 1.514461 1.713418 1.515042 1.709599 1.479612 1.484131 1.698951 1.976415 1.515909 1.490664 1.520366 1.518639 1.49732 1.948626 1.698117 1.788311 1.791012 1.891101 1.516414 1.861227 1.506192 1.489726 1.514448 1.509286 1.515042 1.713418 1.522101
"Davos" 12 2.085503 1.524938 1.508022 1.854741 1.920283 1.784943 1.769566 1.512046 1.764398 1.646814 1.521734 1.70922 1.508872 1.47885 1.657857 1.949182 1.50256 1.471408 1.459522 1.505975 1.528266 1.96721 1.778309 1.794281 1.803343 1.728443 1.479047 1.825811 1.519352 1.521366 1.505791 1.960273 1.512046 1.778309 1.6523355
