"SName"	"monoculture.t.ha."	"Id"	"Di"	"monoculture_relative"	"site"	"persists"
"AAlb"	26.186106	0	5.45088151904219	0.00761114667328249	"Basel"	TRUE
"ACam"	23.92617	7	3.70032665350851	0.00695428290101214	"Basel"	TRUE
"AGlu"	1.25588	10	4.08238233777311	0.000365028954058386	"Basel"	FALSE
"AInc"	2.561308	11	4.20036271601683	0.000744459327532388	"Basel"	FALSE
"APla"	77.31941	8	3.96011541644128	0.0224733440780262	"Basel"	TRUE
"APse"	144.70874	9	3.51845846677564	0.0420604516397322	"Basel"	TRUE
"AVir"	0.043378	12	5.91164313584738	1.26080724027333e-05	"Basel"	FALSE
"BPen"	47.857826	13	4.66257804432037	0.0139101603403894	"Basel"	TRUE
"CAve"	0.591614	16	3.86108071747658	0.000171956110158851	"Basel"	FALSE
"CBet"	92.891175	14	3.4407273141339	0.0269993697260124	"Basel"	TRUE
"CSat"	322.329462	15	3.63557912119768	0.0936869656145986	"Basel"	TRUE
"FExc"	40.365657	18	3.50445226944713	0.0117325170833117	"Basel"	TRUE
"FSyl"	245.078003	17	3.84390347447605	0.0712333718968436	"Basel"	TRUE
"LDec"	366.020185	1	5.12023310117073	0.106385932807917	"Basel"	TRUE
"PAbi"	41.716984	2	4.54005779679717	0.0121252882727573	"Basel"	TRUE
"PCem"	128.208068	3	5.43859590321483	0.0372644336751014	"Basel"	TRUE
"PMon"	76.238155	4	5.66081750476897	0.0221590709136152	"Basel"	TRUE
"PNig"	1.55214	19	4.25789614695819	0.000451138676268579	"Basel"	FALSE
"PSyl"	243.756901	5	4.32814443523422	0.0708493857825138	"Basel"	TRUE
"PTre"	64.588126	20	3.96304498896519	0.0187729210421149	"Basel"	TRUE
"QPet"	302.010792	21	3.86628219362894	0.0877812239370837	"Basel"	TRUE
"QPub"	188.793255	22	4.08073778979974	0.0548738768082365	"Basel"	TRUE
"QRob"	314.776971	23	4.54173654409529	0.0914917894112469	"Basel"	TRUE
