"site"	"order"	"simul"	"speciesShortName"	"mean_biom_tot"
"GrandeDixence"	"random_3"	9	"PCem"	247.701861766318
"GrandeDixence"	"random_3"	10	"LDec"	64.6266496097273
"GrandeDixence"	"random_3"	10	"PCem"	244.624683520955
"GrandeDixence"	"random_3"	11	"LDec"	50.8139293209773
"GrandeDixence"	"random_3"	11	"PCem"	247.429076246023
"GrandeDixence"	"random_3"	12	"LDec"	50.25448707775
"GrandeDixence"	"random_3"	12	"PCem"	268.191811901091
"GrandeDixence"	"random_3"	13	"LDec"	60.6680280881364
"GrandeDixence"	"random_3"	13	"PCem"	248.123519998023
"GrandeDixence"	"random_3"	14	"LDec"	47.6022080049091
"GrandeDixence"	"random_3"	14	"PCem"	260.945505671841
"GrandeDixence"	"random_3"	15	"LDec"	64.5028655654318
"GrandeDixence"	"random_3"	15	"PCem"	243.745816345295
"GrandeDixence"	"random_3"	15	"PMon"	0.161872176272727
"GrandeDixence"	"random_3"	16	"LDec"	63.5509167063864
"GrandeDixence"	"random_3"	16	"PCem"	251.094996002182
"GrandeDixence"	"random_3"	17	"LDec"	75.5990229139318
"GrandeDixence"	"random_3"	17	"PCem"	241.373170710614
"GrandeDixence"	"random_3"	18	"PCem"	296.763363774114
