"species"	"mixture_t_ha"	"site"	"order"	"simul"	"mixture_relative"	"persists"
"PNig"	0.242756	"Adelboden"	"random_6"	12	0.123421740602639	TRUE
"PSyl"	0.000512	"Adelboden"	"random_6"	12	0.000260310481259171	FALSE
"QPet"	0.047813	"Adelboden"	"random_6"	12	0.0243090332821186	TRUE
"QRob"	0.000741	"Adelboden"	"random_6"	12	0.000376738411353604	FALSE
"SAri"	0.00018	"Adelboden"	"random_6"	12	9.15154035676772e-05	FALSE
"SAuc"	0.000678	"Adelboden"	"random_6"	12	0.000344708020104917	FALSE
"TBac"	0.001	"Adelboden"	"random_6"	12	0.000508418908709318	FALSE
"TPla"	0.000216	"Adelboden"	"random_6"	12	0.000109818484281213	FALSE
"UGla"	0.004283	"Adelboden"	"random_6"	12	0.00217755818600201	FALSE
"AAlb"	0.092153	"Adelboden"	"random_6"	13	0.0456752882678552	TRUE
"APla"	0.004909	"Adelboden"	"random_6"	13	0.00243312740884074	FALSE
"APse"	0.044273	"Adelboden"	"random_6"	13	0.0219437461339593	TRUE
"BPen"	0.005849	"Adelboden"	"random_6"	13	0.00289903487763486	FALSE
"CAve"	4.6e-05	"Adelboden"	"random_6"	13	2.27997271963076e-05	FALSE
"CBet"	0.094152	"Adelboden"	"random_6"	13	0.0466660851084078	TRUE
"CSat"	0.000534	"Adelboden"	"random_6"	13	0.000264675093974528	FALSE
"PAbi"	1.435206	"Adelboden"	"random_6"	13	0.711354462402259	TRUE
"PCem"	7.1e-05	"Adelboden"	"random_6"	13	3.51908832812574e-05	FALSE
"PMon"	3.1e-05	"Adelboden"	"random_6"	13	1.53650335453378e-05	FALSE
"PNig"	0.264227	"Adelboden"	"random_6"	13	0.130963119954321	TRUE
"PSyl"	0.000521	"Adelboden"	"random_6"	13	0.000258231692810354	FALSE
"QPet"	0.069416	"Adelboden"	"random_6"	13	0.034405779631715	TRUE
"SAri"	0.00019	"Adelboden"	"random_6"	13	9.41727862456185e-05	FALSE
"SAuc"	0.000485	"Adelboden"	"random_6"	13	0.000240388428048026	FALSE
"TBac"	0.00113	"Adelboden"	"random_6"	13	0.000560080255039731	FALSE
"TPla"	0.000263	"Adelboden"	"random_6"	13	0.000130354962013672	FALSE
"UGla"	0.004112	"Adelboden"	"random_6"	13	0.00203809735285254	FALSE
"AAlb"	0.081277	"Adelboden"	"random_6"	14	0.0402983416977295	TRUE
"APla"	0.00447	"Adelboden"	"random_6"	14	0.00221629227689077	FALSE
"APse"	0.039516	"Adelboden"	"random_6"	14	0.0195926187055068	TRUE
"BPen"	0.004334	"Adelboden"	"random_6"	14	0.00214886146041266	FALSE
"CAve"	2.4e-05	"Adelboden"	"random_6"	14	1.18995558490779e-05	FALSE
"CBet"	0.092448	"Adelboden"	"random_6"	14	0.0458370891306482	TRUE
"CSat"	0.000335	"Adelboden"	"random_6"	14	0.000166097967060046	FALSE
"PAbi"	1.49851	"Adelboden"	"random_6"	14	0.742983476475074	TRUE
"PCem"	0.000295	"Adelboden"	"random_6"	14	0.00014626537397825	FALSE
"PMon"	0	"Adelboden"	"random_6"	14	0	FALSE
"PNig"	0.250489	"Adelboden"	"random_6"	14	0.124196160211653	TRUE
"PSyl"	6.9e-05	"Adelboden"	"random_6"	14	3.42112230660991e-05	FALSE
"QPet"	0.039423	"Adelboden"	"random_6"	14	0.0195465079265916	TRUE
"SAuc"	0.000288	"Adelboden"	"random_6"	14	0.000142794670188935	FALSE
"TBac"	0.000902	"Adelboden"	"random_6"	14	0.000447224973994512	FALSE
"TPla"	0.000395	"Adelboden"	"random_6"	14	0.000195846856682741	FALSE
"UGla"	0.004107	"Adelboden"	"random_6"	14	0.00203631149467346	FALSE
"AAlb"	0.095435	"Adelboden"	"random_6"	15	0.0473306429895251	TRUE
"APla"	0.004825	"Adelboden"	"random_6"	15	0.00239294129433079	FALSE
"APse"	0.044505	"Adelboden"	"random_6"	15	0.0220720937418014	TRUE
"BPen"	0.005958	"Adelboden"	"random_6"	15	0.00295484854541406	FALSE
"CAve"	3.5e-05	"Adelboden"	"random_6"	15	1.73581233785653e-05	FALSE
"CBet"	0.090143	"Adelboden"	"random_6"	15	0.044706094734686	TRUE
"CSat"	0.000175	"Adelboden"	"random_6"	15	8.67906168928265e-05	FALSE
"PAbi"	1.448046	"Adelboden"	"random_6"	15	0.718153175023942	TRUE
"PCem"	0.000532	"Adelboden"	"random_6"	15	0.000263843475354193	FALSE
"PMon"	0.000156	"Adelboden"	"random_6"	15	7.73676356301767e-05	FALSE
"PNig"	0.262222	"Adelboden"	"random_6"	15	0.130048052244976	TRUE
"QPet"	0.058408	"Adelboden"	"random_6"	15	0.0289672362941498	TRUE
"SAuc"	0.000492	"Adelboden"	"random_6"	15	0.000244005620064404	FALSE
"TBac"	0.001199	"Adelboden"	"random_6"	15	0.000594639712311423	FALSE
"TPla"	0.000206	"Adelboden"	"random_6"	15	0.000102164954742413	FALSE
"UGla"	0.00401	"Adelboden"	"random_6"	15	0.00198874499280134	FALSE
"AAlb"	0.079686	"Adelboden"	"random_6"	16	0.0432163376694655	TRUE
"APla"	0.005393	"Adelboden"	"random_6"	16	0.00292480120788378	FALSE
"APse"	0.033112	"Adelboden"	"random_6"	16	0.0179577262368715	TRUE
